P#,Country,DRM Pillar,Prior Action,Result Indicator
P172742,Tonga,Disaster Risk Financing strategies and instruments,"To strengthen financial resilience of the Recipient’s government, households, and businesses to disasters, the Recipient, through its Cabinet, has approved a national disaster risk financing strategy 2021-2025 that establishes a financial risk-layering policy to maximize disaster and climate risk financing.","Results Indicator #7: Establishment of national registries of public schools and health facilities that include asset vulnerability information, and are used for policy and operational decisions to enhance resilience of public assets
"
P173008,Bhutan,Sector-specific risk reduction measures,"The revised National Housing Policy has been cleared by the GNHC and approved by the Cabinet, promoting the provision of resilient and green housing for the urban poor.","2) State land for resilient, affordable and energy efficient housing development is identified."
P173008,Bhutan,Sector-specific risk reduction measures,"The National Construction Industry Policy has been cleared by the Gross National Happiness Commission (GNHC) and approved by the Cabinet, promoting the quality of construction towards a safe, resilient and low carbon built environment.","1A) The interim Engineering Council of Bhutan is established under the DES for registering and certifying construction professionals based on technical qualification criteria.
Works below BTN10 million (US$130,000) monitored.
1B) A construction quality compliance mechanism for enforcing safe, resilient and green construction is established and implemented by the Construction Development Board (CDB)
Works above BTN10 million (US$130,000) monitored"
P173008,Bhutan,Early Warning Systems,"The Prime Minister has authorized the NCHM as the National Hydromet Hazard Early Warning Service Provider, ensuring clear and systematic early warning and notification to vulnerable populations and government agencies of threatening hydrometeorological hazards, disaster situations or events in the country.",3) Draft National Meteorology and Hydrology Policy is prepared for submission to the GNHC
P173008,Bhutan,Emergency Preparedness and Response,"The Director of Public Health, Ministry of Health, has approved the National Pandemic Preparedness and Response Plan (NPPRP).",4) MoH carries out simulations and mock drill exercises in accordance with the BPPRP and SOPs
P173558,Fiji,Not DRM,"To strengthen public financial management, the Recipient, through its Cabinet, has: (i) approved the Financial Management (Amendment) Bill 2021; (ii) applied Gender Responsive Budgeting principles in its FY2020-2021 budget process with regard to two pilot ministries, namely, the Ministry of Commerce, Trade, Tourism and Transport and the Ministry of Fisheries; and (iii) agreed that Gender Responsive Budgeting principles will be rolled out to other ministries in the future.","Results Indicator #7: The performance indicator measuring aggregate revenue outturn in the PEFA assessment.
Results Indicator #8: Number of programs across budget agencies performing gender impact assessments and collecting sexdisaggregated data for monitoring and evaluation.
Results Indicator #9: Share of women in total new police recruitments."
P173558,Fiji,Not DRM,"To improve debt management, the Recipient, through its Cabinet, has approved Fiji’s first Medium Term Debt Management Strategy Fiscal Years 2021-2023 and made it publicly accessible on the Ministry of Economy's website.",Results Indicator #6: The weighted average interest rate of total debt portfolio
P173558,Fiji,Not DRM,"To improve the efficiency of payment system and foster digital solutions, the Recipient, through its Cabinet, has approved the National Payment System Bill 2020.",Results Indicator 1: The annual volume of payments made electronically through the Real-Time Gross Settlement System
P173558,Fiji,Not DRM,"To develop wholesale corporate bonds market, the Recipient, through the Ministry of Economy, has approved the Companies (Wholesale Corporate Bonds) Regulations 2021.",Results Indicator 2: Number of outstanding corporate bond issuances
P173558,Fiji,Sector-specific risk reduction measures,"To improve the resilience of buildings to climate risks by specifying minimum requirements of structural materials, the Recipient, through the Ministry of Commerce, Trade, Tourism and Transport, has approved the Fiji Standard AS/NZS 4671 for Steel Reinforcing Materials.","Results Indicator #4: Share of import permits for steel reinforcement material being manufactured in accordance with the revised standard, or suitable equivalent standard, provided to the Border Control Agency"
P173558,Fiji,Sector-specific risk reduction measures,"To enhance resilience of coastal communities by protecting marine ecosystems, the Recipient, through its Cabinet, has approved the National Ocean Policy 2020-2030.",Results Indicator #3: (i) Area within the national jurisdiction legally designated as Marine Protected Areas that contribute to climate resilience; (ii) share of women in the National Ocean Policy Steering Committee
P173558,Fiji,Adaptive Social Protection,"To better target social assistance programs and improve socioeconomic and climate resilience of the poor and vulnerable, the Recipient, through its Cabinet, has approved the Social Assistance Policy: Protecting the Poor and Vulnerable",Results Indicator #5: Share of the beneficiaries that are in the poorest quintile included in the poverty-targeted social assistance program
P174191,Panama,DRM policies and institutions,"The Borrower has taken measures to strengthen the institutional framework for disaster risk management by creating: (a) the Civil Protection career; and (b) a Comprehensive Risk Management Cabinet with the mandate to promote guidelines, national policies, strategic plans and programs aiming at reducing disaster risks in a comprehensive manner and to foster economic, sanitary, cultural and education resilience, as evidenced, respectively, by (a) Law No. 233, dated August 24, 2021, and published in the Official Gazette on August 25, 2021; and (b) Executive Decree No. 251 of August 24, 2021,and published in the Official Gazette on August 30, 2021.","Percentage of SINAPROCs staff certified as risk managers nationwide as per the new Civil Protection Career provisions
Percentage of female members within the Civil Protection General Directorate
Number of multisectoral programs endorsed by the DRM Cabinet"
P174191,Panama,Territorial and urban planning,"The Borrower has created a Territorial Development Directorate and mandated, among its responsibilities, the planning and coordination of activities related to disaster risk reduction at the subnational level; as evidenced by Executive Decree No. 89, dated February 26, 2021, and published in the Official Gazette on the same date.",Percentage of territorial plans with DRM and CCA criteria validated by the Directorate of Territorial Development
P174191,Panama,Sector-specific risk reduction measures,"The Borrower has taken measures to strengthen and consolidate its capacity to comprehensively manage and prevent emergencies and disasters, including disease outbreaks, epidemics, pandemics, and those exacerbated by climate change by: (a) adopting tools and protocols for response to multi-hazard emergencies and disasters in health; and (b) establishing the authority, leadership and oversight for comprehensive disaster risk management within the Ministry of Health to the Comprehensive Disaster Risk Management Office of the Health Sector, as evidenced by Ministerial Resolution No. 900, dated December 20, 2021, and published in the Ministry of Health’s website",National-level simulation exercises to test multi-hazard response protocols carried out with satisfaction levels at or above 80 percent according to PAHO best practices
P174191,Panama,Early Warning Systems,"The Borrower has created the National Hydrometeorological Service institute as an autonomous government agency, as evidenced by Law No. 209, dated April 22, 2021, and published in the Official Gazette on the same date","Approval of the NMHSs organizational structure, budget, and staffing plan by the Institute board of directors
Number of economic activities and sectors informed through seasonal forecasts emitted by the NMHS"
P175072,Malawi,Not DRM,"Prior Action #1. The Recipient, through MoFEA, has issued the Public Finance Management Regulations, which inter alia strengthen fiscal transparency and effective management of public resources.",Results Indicator #1: Arrears (share of GDP)
P175072,Malawi,Not DRM,"Prior Action #3. The Recipient has issued the Companies (Beneficial Ownership) Regulations, which inter alia require companies to maintain a register of particulars of their beneficial owners.","Results Indicator #3: Share of procurement with beneficial ownership details disclosed, drawing from the Malawi Business Registration System (Percent of total contract value)"
P175072,Malawi,Not DRM,"Prior Action #4. The Recipient, through its Cabinet, has approved the proposed policy change on Implementation of the 2023-24 Affordable Inputs Program, to improve targeting and economic efficiency of the program.",Results Indicator #4:4a) AIP beneficiaries (households) 4b) Share of beneficiaries identified through NAMIS system (%)
P175072,Malawi,Not DRM,"Prior Action #5. The Recipient, through MERA, has issued its Approval, agreeing to the renegotiated Hydro Power Purchase Agreements between ESCOM and EGENCO, which reflect a more equitable determination of hydro power tariffs in line with Tariff Methodology approved by MERA.",Results Indicator #5:5a) ESCOM System Average Interruption Duration Index (SAIDI) 5b) Number of ESCOM connections
P175072,Malawi,Not DRM,"Prior Action #6. The Recipient has submitted to Parliament for approval a Data Protection Bill, to leverage private sector investment in digital infrastructure and services and increase data capacity.",Results Indicator #6: Used international bandwidth capacity
P175072,Malawi,Not DRM,"Prior Action #7. The Recipient, through the MoFEA, has issued the Deposit Insurance Regulations for Banks 2023 which inter alia provide for reporting and submission of depositors’ data to support financial inclusion and financial sector stability.",Results Indicator #7: Share of bank accounts covered by the Deposit Insurance Scheme (Percentage)
P175072,Malawi,DRM policies and institutions,"Prior Action #9. The Recipient has enacted the Disaster Risk Management Act, to improve the Recipient’s capacity to proactively manage and respond to disaster risks.",Results Indicator #9: Budgetary allocation to Disaster Management Fund(share of total expenditure) (Percentage)
P175072,Malawi,Sector-specific risk reduction measures,"Prior Action #10. The Recipient, through Cabinet, has approved the National Building Policy, to improve building standards for resilient design and construction.",Results Indicator #10: Unified Building Code adopted
P175072,Malawi,Fiscal Risk,"Prior Action #2. The Recipient through MoFEA, has issued the Public Private Partnership Regulations, which inter alia provide for improving fiscal risk management, attract private finance, and incorporate climate change resilience.",Results Indicator #2:2a) PPP projects screened using new PPP screening methodology (%)2b) PPP projects achieving financial closure (cumulative)
P175072,Malawi,Disaster Risk Financing strategies and instruments,"Prior Action #8. The Recipient has purchased parametric insurance policy as a disaster risk financing instrument, to provide emergency cash transfers in response to drought.",Results Indicator #8:8a) Coverage of parametric insurance for poor and vulnerable households (Number).8b) Gender-targeted coverage of parametric insurance for poor and vulnerable households (share of female- headed households) (Percentage)
P176148,Cabo Verde,Not DRM,"To further increase debt transparency, the Recipient has issued a regulatory decree broadening the coverage of public debt in the annual debt bulletins to cover the nonfinancial public sector (central Government, SOEs, and municipalities).",Result Indicator #1: Sectoral coverage score in the World Bank debt reporting heat map
P176148,Cabo Verde,Not DRM,"To further strengthen FRM, the Recipient has issued a statement of the ministerial order setting out relevant criteria to assess the credit risk of guarantees’ beneficiaries and the basis for charging fees, requiring collateral, and instituting a reserve fund.","Result Indicator #2: Support to SOEs (capitalization, guarantees, on-lending) above what is established in the annual budget (percentage)"
P176148,Cabo Verde,Not DRM,"To improve the coordination of social programs and the efficiency of targeting the poor and most vulnerable, the Recipient has (i) issued a regulatory decree, which amends the regulatory decree No. 7/2018 to mandate social programs using the social registry to provide feedback data; and (ii) issued a ministerial order, which instructs the PRH to focus support to households in group I and II in the CSU.",Result Indicator #6: Additional households identified using the social registry that are from the two poorest quintiles
P176148,Cabo Verde,Not DRM,"To implement the power sector restructuring, the Recipient has enacted a decree-law to (i) mandate ELECTRA’s disinvestment from power sector activities; and (ii) vertically unbundle the power sector by creating a thermal electricity generation company, an electricity distribution company, and an electricity system operator company.",Result Indicator #7: Improved ELECTRA's commercial operational performance: Overall system losses
P176148,Cabo Verde,Not DRM,"To promote the development of the fisheries sector and sustainable use of marine and coastal resources, the Recipient has issued a ministerial order approving the list of eligible species for aquaculture activities.",Result Indicator #9: Total investments generated in aquaculture cumulative (USD million)
P176148,Cabo Verde,Sector-specific risk reduction measures,"To modernize the tourism regulatory framework and in line with the ENRRD strategy, the Recipient has adopted three decree laws stipulating (i) updated licensing requirements for tourism accommodation operators, including disaster and climate risk considerations; (ii) a legal regime for tourism and hospitality establishments in rural areas; and (iii) updated rules and norms for tourism service providers.","Result Indicator #8: New tourism investment projects approved in ZDTIs, in compliance with the corresponding POTs and with approved environmental impact assessments (% of total nbr of new ZDTI)"
P176148,Cabo Verde,Adaptive Social Protection,"To increase the resilience of the most vulnerable population to external shocks, including droughts, the Recipient has enacted a decree establishing a shock-responsive safety net framework, indicating its features, implementation processes, roles, and responsibilities.","Result Indicator #4: Female headed households benefitting from temporary income support in response to shocks, including climate-related, through emergency cash transfer programs (cumulative number)"
P176148,Cabo Verde,Fiscal Risk,"To further strengthen the management of fiscal risks associated to disaster and climate-related shocks, the Recipient has issued a resolution mandating (i) the assessment of contingent liabilities associated to disaster and climate risks and (ii) its inclusion in the annual FRS.",Result Indicator #3: Share of annual average loss from disaster and climate-related risks covered under the existing risk financing instruments
P176148,Cabo Verde,Disaster Risk Financing strategies and instruments,"To increase the resilience of vulnerable households to droughts, the Recipient has amended the decree-law establishing the FNE to expand the eligible expenditures financed by the FNE, enabling drought-related emergency response and recovery activities.",Result Indicator #5: FNE audit report produced and published by the Court of Account including evaluation of drought response expenditures (yes/no).
P176650,Colombia,DRM policies and institutions,"The Republic of Colombia, through its National Planning Department (DNP), has approved the Public Policy to Reduce the Conditions for Disaster Risk and Adapt to Climate Variability Phenomena, as evidenced by CONPES","1.1. Percentage increase in budget appropriation for the implementation of the Public Policy on Climate Variability
1.2. Percentage of national territory covered by subnational profiles strengthened through the incorporation of climate variability analytics"
P176650,Colombia,Territorial and urban planning,"The Republic of Colombia has enacted measures to strengthen the development of disaster- and climate-resilient housing and land use planning, as evidenced by the Borrower’s Law No. 2079",5. Percentage of approved territorial development plans incorporating disaster risk management that are published through technology platforms developed by IGAC
P176650,Colombia,Sector-specific risk reduction measures,"The Republic of Colombia, through its Ministry of Transport (MoT), has adopted measures to reduce risk conditions and increase climate resilience in the transport sector through the approval of: (a) the Green Road Infrastructure Guidelines, as evidenced by Circular No. 202160000167431 issued by MoT on February 23, 2021; and (b) the INVÍAS Disaster Risk Management Plan, as evidenced by Resolution No. 1978 dated September 2, 2020, issued by the General Director of the Borrower’s National Roads Institute (INVÍAS),","6.1. Number of kilometers of non-concessioned national roads incorporating risk analysis and risk reduction actions in new construction, renovation and/or upgrading projects
6.2. Number of contracted pilot projects for non-concessioned primary roads (sections) incorporating green road infrastructure guidelines"
P176650,Colombia,Sector-specific risk reduction measures,"The Republic of Colombia, through DNP, has approved the Public Policy to Control Deforestation and to Sustainably Manage Forests, as evidenced by CONPES",2. Number of hectares affected by deforestation (compared to 2019 baseline)
P176650,Colombia,Emergency Preparedness and Response,"The Republic of Colombia has approved measures to strengthen preparedness and response to public health emergencies caused by epidemics and increased climate variability, through the adoption of: (a) the Program for Sustainable Testing, Tracing and Selective Isolation (PRASS) for monitoring of COVID-19 cases and contacts, as evidenced by Legislative Decree No. 1374 dated October 19, 2020 and published in the Official Gazette No. 51.472 on the same date; and (b) the Guidelines for Sectoral Preparedness and Response to Potential Health Effects, Including COVID-19, During the Second Rainy Season in 2020 and Possible Occurrence of the Climate Variability Phenomenon “La Niña 2020–2021”, as evidenced by the External Joint Circular No. 045, dated November 20, 2020, issued jointly by the Borrower’s Minister of Health and Social Protection and the Director of the Borrower’s National Institute of Health","7.1. New Ten-Year Public Health Plan (PDSP) incorporating health risks in emergencies and disasters, informed by lessons learned from COVID-19, developed and approved
7.2. Number of subnational health entities reporting public health risk maps for dengue/malaria and climate adaptation & mitigation actions under prevention & control of vector-borne diseases program"
P176650,Colombia,Fiscal Risk,"The Republic of Colombia, through its Ministry of Finance and Public Credit (MHCP), has adopted measures to strengthen its fiscal resilience to disaster risk and climate change by: (a) updating and approving the National Disaster, Epidemic and Pandemic Risk Financing Strategy, as evidenced by External Circular No. 030 dated October 29, 2021, issued by MHCP and published on its website; and (b) issuing the Medium-Term Fiscal Framework","3.1. Number of disaster risk financing strategies approved by subnational entities, and their respective implementation plans formulated
3.2. Number of disaster risk financing strategies approved by prioritized sectors, and their respective implementation plans formulated
3.3. Percentage of households with female recipients participating in Families in Action program that are eligible to receive unconditional extraordinary or ordinary cash transfer following a disaster"
P176650,Colombia,Fiscal Risk,"The Republic of Colombia, through MHCP, has taken measures to improve its ability to mobilize resources to reduce climate vulnerability through the development of the Sovereign Green Bond Framework,","4. Sovereign green bond issued, subject to market conditions, and results and impact report published"
P176930,Vanuatu,Not DRM,"In order to improve debt management and transparency, the Ministry of Finance and Economic Management (MFEM) has issued through its director general, a Ministry Instruction, dated February 2nd, 2022, to publish on the MFEM website quarterly debt reports on the stock of debt categorized by instrument and creditor type.",Results Indicator #4: Number of quarterly debt reports which include the stock of debt by creditor and instrument published on the MFEM website
P176930,Vanuatu,Territorial and urban planning,"In order to provide for disaster and climate-risk informed physical planning for declared physical planning areas, the Recipient has enacted an Amendment to the Physical Planning Act, number 26 of 2021.",Results Indicator #2 Guidelines for design and development standards integrating climate change and geological hazards are adopted and applied
P176930,Vanuatu,Early Warning Systems,"In order to better organize the health system to respond to and build resilience of essential health services to climate change and natural disasters, the Ministry of Health has: (i) launched an Outbreak Alert System, and (ii) endorsed and approved a National Health Plan for Disaster Risk Management and Climate Change Adaptation (2021-2025).","Results Indicator #3.1: Public health emergency response and disaster preparedness protocols developed for provinces, with training, exercises and drills conducted
Percentage of health emergency response and disaster preparedness protocols that incorporate provisions for sustained access to sexual reproductive health services and support for GBV survivors"
P176930,Vanuatu,Resilient Reconstruction,"In order to establish a national recovery committee, appoint a national coordinator and recovery managers, and establish an emergency recovery fund, the Recipient’s Council of Ministers has approved, for submission to the Parliament, the Bill for a Disaster Recovery and Resilience Act, setting out the aforementioned aspects under Part 2, Sections 10, 11 and 12 of Part 3 and Part 6 of said Bill.","Results Indicator #1.1: Recovery framework institutionalized across provinces and levels of government
Results Indicator #1.2 Data and information gathered and used in post-disaster assessments are disaggregated by sex, age and disability"
P177001,Honduras,Mainstreaming DRM into national development plans,"The Recipient has strengthened the national DRM legal framework for SINAGER to better manage disaster and climate risks, and more effectively respond, and recover from disasters and health emergencies in an inclusive and gender-responsive way, through mandating inter alia, (i) the creation of technical risk management units in all relevant public entities in charge of issuing sector specific DRM plans, (ii) the analysis and management of financing instruments to improve financial preparedness to future natural adverse events, and (iii) the inclusion of gender considerations in government response and recovery from disasters, as evidenced by the submission to the National Congress of a new SINAGER law through the Recipient’s note SSDP-CN 018-2022 signed by the Minister of the Presidency on May 02, 2022 and stamped as received by the Secretariat of the National Congress on May 3, 2022.","Sectoral level DRM Plans formulated by TRMUs approved for at least five sectors
Shelters managed by COPECO with their operational staff certified in protocols and procedures to prevent and respond to GBV and violence against children"
P177001,Honduras,Sector-specific risk reduction measures,"The Recipient has strengthened its national institutional capacity to manage water resources and flood risks by enabling the creation, structuring and future operationalization of the Water Authority, with a specific role to provide critical services and information to the Honduras Water Basin Organizations to reduce water-related disaster risks; as evidenced by the Recipient’s Executive Agreement 002-2021 which approved the regulations of the General Water Law, dated September 16, 2021 and published in the Official Gazette on October 6, 2021.","First National Integrated Water Resource Management Policy, providing guidelines for integrated water resource management to reduce water-related risks
River basins studies to identify restricted use zones according to flood risk"
P177001,Honduras,Sector-specific risk reduction measures,"The Recipient has strengthened its institutional capacity for formulating and implementing water and sanitation risk management programs through the approval of the National Plan for Potable Water and Sanitation (Plan Nacional de Agua Potable y Saneamiento or PLANASA), as evidenced by the certified minutes of the extraordinary session N. 30-2022 of the National Council of Drinking Water and Sanitation (Consejo Nacional de Agua potable y Saneamiento - CONASA), dated April 25, 2022.","Regulatory instrument defining SANAA and CONASA's role, staffing, and budget to operationalize the DRM and climate resilience programs for the water and sanitation sector and strengthen the sector's resilience approved
WSS sectoral sub-programs addressing DRM and climate resilience produced, approved and under implementation"
P177001,Honduras,Sector-specific risk reduction measures,"The Recipient, through the Ministry of Natural Resources and Environment, has strengthened its governance of wetlands and coastal marine areas by adopting a public policy for their protection, as evidenced by Ministerial Agreement No. 770-2021 dated June 2, 2021 and published in the Official Gazette on July 8, 2021.","Wetland-specific management plans, adopted"
P177001,Honduras,Disaster Risk Financing strategies and instruments,"The Recipient has strengthened the institutional framework for fiscal resilience against disaster risks through the approval of the Disaster Risk Financing Management Strategy (DRFMS) and its Implementation Plan which establish objectives to, inter alia, assess fiscal exposure to disasters, evaluate and adopt financing instruments to reduce this exposure and improve efficiency in post-disaster expenditures; as evidenced by the Recipient’s Ministerial Agreement No. 292-2022, dated April 18, 2022 and published in the Official Gazette on May 12, 2022.","Annual Disaster Risk-related Contingent Liabilities Assessments included in budget planning instruments
Technical Guidelines for the Inclusion of an Analysis of Disaster Risk Reduction and Climate Change Adaptation in Public Investments, adopted"
P177125,Philippines,Risk Identification,The Government has required NGAs and LGUs to establish baseline data for disaster and climate risks to inform DRM interventions through the NDRRM Plan 2020-2030.,"Climate, disaster, and health-related data of LGUs are included in the Government's central risk data system (GeoRiskPH)."
P177125,Philippines,Sector-specific risk reduction measures,The Government has adopted Climate Risk Vulnerability Assessment (CRVA) to integrate climate risk management and resilience in the Provincial Commodity Investment Plans (PCIPs) through a Department of Agriculture (DA) memorandum.,The Government has updated the PCIPs to integrate climate risk and resilience in priority investments.
P177125,Philippines,Emergency Preparedness and Response,The Government has strengthened delivery of the community-based DRM related Technical and Vocational Education and Training (TVET) program through the issuance of a Technical Education and Skills Development Authority (TESDA) Circular.,Increased community participation in vulnerable provinces in TVET courses related to DRM and disease outbreaks.
P177125,Philippines,Fiscal Risk,The Government has mandated the inclusion of CCA-DRR measures in all projects through the Republic Act 11518 (General Appropriations Act of 2021).,"Increased compliance of NGAs in disaster and climate budget tagging.
Increased compliance of LGUs in disaster and climate budget tagging.
Local investment programs of highly urbanized cities (HUCs) and independent component cities (ICCs), integrate CCA-DRR measures.
Local investment programs of priority vulnerable provinces integrate CCA-DRR measures."
P177125,Philippines,Resilient Reconstruction,The Government has mandated the use of Disaster Rehabilitation and Recovery Plans to link funding approval from the NDRRM Fund to planning through a NDRRM Council memorandum circular.,Vulnerable Local Government Units (LGUs) submit Disaster Rehabilitation and Recovery Plan as required to rapidly request and access funding from the NDRRMF for recovery and reconstruction projects.
P177748,The Gambia,Not DRM,"Prior Action #1. To facilitate private sector in the energy sector and facilitate renewable energy penetration, the Recipient has issued the Gambia Green Mini-Grid Regulations, 2023 setting out rules and conditions for concession agreements, community contracts, generation and distribution licenses for green mini grids.",Results Indicator #1: Grid connected renewable energy in the electricity mix (percent)
P177748,The Gambia,Not DRM,"Prior Action #2. To revitalize commercial agriculture and food safety, the Recipient has issued the Groundnuts and Groundnut Products Regulations 2023, establishing rules and enforcement mechanisms for the maximum limits of aflatoxin levels, including the roles of food business operators in complying with the safety standards.",Results Indicator #2: Exports to destinations enforcing aflatoxin levels complying with the regulations (percent)
P177748,The Gambia,Not DRM,"Prior Action #3. To increase access to affordable financial services, the Recipient has issued the Provision of Retail Payment Services Regulations, 2023, to include the full scope of electronic payment services, as well as more innovative payment instruments.",Results Indicator #3: Active customers of mobile money services (number)
P177748,The Gambia,Not DRM,"Prior Action #4. To enhance the efficiency of public procurement, the Recipient, has issued the Gambia Public Procurement Regulations, 2023, defining the roles of all stakeholders, establishing transparency and oversight mechanisms, and clearly defining emergency and single source rules.",Results Indicator #4: Procurement tenders by value that are single sourced (percent)
P177748,The Gambia,Not DRM,"Prior Action #5. To improve governance, performance and oversight of SOEs, the Recipient has enacted the State-Owned Enterprises Act No.5 of 2023 establishing a framework to monitor and provide oversight of SOEs primary and performance objectives and mandating the publication of the audited annual financial statements of SOEs.",Results Indicator #5: Performance audit reports of SOEs prepared by the National Audit Office and published on the website of the MoFEA (number)
P177748,The Gambia,Not DRM,"Prior action #6. To boost tax revenue collection, the Recipient has (i) issued the Petroleum (Marking and Quality Control Regulations, 2023 and the Excise Stamps Regulations, 2023, and (ii) issued a circular standardizing border clearance procedure and establishing a new risk management system at all border and in-land control posts","Results Indicator #6.1: Excise duties on goods (percent of GDP) 
Results Indicator #6.2: Revenue collected at border and in-land control posts (percent of GDP)"
P177748,The Gambia,DRM policies and institutions,"Prior Action #8. To streamline and strengthen disaster risk management (DRM) frameworks the Recipient has issued the National Disaster Management Prevention Regulations 2023 setting up the roles and responsibilities of stakeholders and coordination mechanisms in response to climate shocks, and detailing emergency prevention efforts at the community level and mandating women’s representation in decision-making roles in local DRM committees.","Results Indicator #8.1: People covered through national financial protection mechanism (number)
Results Indicator 8.2: Women appointed in the executive body of local disaster risk reduction committees (percent)"
P177748,The Gambia,Adaptive Social Protection,"Prior Action #7. To ensure a sustainable, adaptive, social protection system, the Recipient, has approved the National Social Protection Bill, establishing the institutional arrangements, mandate, scope and the principles for social assistance to the most vulnerable and submitted it to Parliament.","Results Indicator #7.1: Beneficiaries of government cash assistance program to the most vulnerable (number)
Results Indicator 7.2. Women who receive government cash assistance after a disaster or climate shock (percent)"
P177794,Kiribati,Not DRM,"Prior Action 1. To improve fiscal transparency, the Recipient, through its Cabinet, has approved and published a Fiscal Reporting Policy, which sets out new standards for regular public reporting on revenues, expenditure, state-owned Enterprises, Revenue Equalization Reserve Fund performance and public debt.",Results Indicator 1. The lag in publication of the Revenue Equalization Reserve fund annual report is reduced.
P177794,Kiribati,Not DRM,"Prior Action 2. To increase tax revenues, the Recipient, through its Cabinet, has approved measures to: (a) introduce an international transportation income tax (Part II, Section 13 of the Income Tax Act bill (“ITB”)); (b) provide a simplified system for calculating income tax for small businesses (Part III, Division 6, Section 36 of the ITB); (c) provide for the income tax regime applicable to different categories of legal person (Part IV of the ITB); and (d) provide a general anti-avoidance rule (Part IX, Section 102 of the ITB), as evidenced by: (i) Part II, III, IV and IX of the ITB; and (ii) a letter from the Secretary to the Cabinet dated February 2, 2023 (file ref: 10/67) confirming Cabinet approval of the ITB through Cabinet Minutes No. 3/23.",Results Indicator 2. Government income tax revenues are increased.
P177794,Kiribati,Not DRM,"Prior Action 3. To improve state-owned enterprises (SOE) management, the Recipient: (a) through its Ministry of Finance and Economic Development, has: (i) confirmed a one-off payment through the 2023 Recurrent Budget to clear all pre-2022 arrears of line ministries to PUB; and (ii) approved a new standardized SOE monitoring system based on reporting templates; and (b) authorized the Ministry of Infrastructure and Sustainable Energy to require all suppliers of petroleum products to provide such information as required in determining and setting prices and tariffs through Section 67(6) of the Energy Act 2022.",Results Indicator 3. PUB's average annual overdraft is reduced.
P177794,Kiribati,Not DRM,"Prior Action 4. To improve financial supervision and promote financial inclusion, the Recipient has enacted: (a) the Financial Supervisory Authority of Kiribati Act 2021, which covers the establishment, powers, governance, and operation of a supervisory authority; and (b) the Kiribati Financial Institutions Act 2021, which covers how financial institutions will be licensed and supervised.",Results indicator 4. Number of individual account holders with deposit-taking institutions is increased.
P177794,Kiribati,DRM policies and institutions,"Prior Action 6. To strengthen planning for climate adaptation and mitigation, the Recipient, through its President, has promulgated the Disaster Risk Management and Climate Change Regulations 2020, which prescribe the governance arrangements, funding arrangements, climate change and disaster risk reduction, and disaster preparedness and response arrangements for the implementation of the Disaster Risk Management and Climate Change Act 2019.","Results indicator 6. Building approvals are issued to new structures that comply with new building code.
Results indicator 7. Data and information collected, analyzed, and used in
damage and needs assessments is disaggregated by sex, age and disability-status."
P177794,Kiribati,Sector-specific risk reduction measures,"Prior Action 5. To promote climate resilient development, the Recipient has enacted the Environment Act 2021, which introduces measures to reduce waste and pollution, and strengthens conservation of terrestrial and marine environments.",Results indicator 5. Waste collected as a share of waste generated in South Tarawa where half the population lives increases.
P177807,Dominica,Mainstreaming DRM into national development plans,"The Recipient, through its Cabinet, has approved a National Agriculture Policy and a National Blue Economy Roadmap to embed climate-smart and disaster-resilient economic growth in its primary livelihood sectors.",Percentage of individuals participating in Agriculture sector programs who are women
P177807,Dominica,Sector-specific risk reduction measures,"The Recipient, through its Cabinet, has adopted a National Forestry Policy to strengthen forest resource management, enhance resilience, and reduce climate and deforestation impacts.",Institutional frameworks for forest sector management established
P177807,Dominica,Sector-specific risk reduction measures,"The Recipient, through its Cabinet, has approved the revised Draft Building Code Regulations of Dominica 2021, to improve resilience of the built environment to climate and geophysical hazard impacts.",Number of building professionals trained on code compliance
P177807,Dominica,Emergency Preparedness and Response,"The Recipient, through its Cabinet, has approved the updated National Disaster Management Multi-Hazards Plan for Health and the National Emergency Telecommunications Plan to enhance climate and disaster response framework to respond more effectively to emergencies.",Percentage of emergency responses (including simulations/drills) that apply key considerations of the National Disaster Management Multi-Hazards for Health Plan and the National Emergency Telecommunications Plan where relevant
P177807,Dominica,Disaster Risk Financing strategies and instruments,"The Recipient, through its Cabinet, has approved a National DRF Strategy, providing a comprehensive framework for using multiple instruments and programs to strengthen financial resilience for improved disaster risk management.",Percent of GDP (current) available in immediate liquidity for catastrophic hydrometeorological disaster response from at least 3 instruments
P177807,Dominica,Disaster Risk Financing strategies and instruments,"The Recipient, through its Ministry of Finance, has approved the domestic sale of a parametric insurance product for hurricane risk to strengthen financial protection for vulnerable communities from climate-related shocks","Number of New FHP Policy holders
Percentage of new FHP policy holders who are women"
